"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"X148A1","X","Park","Small Park","Athletic Facilities","Bronx Sector 4.5","Districts 4, 5",0,0.03,0,NA,NA,0,7,NA,NA,11,1.3,NA,NA,1,"No",NA,NA,"No",NA,NA,NA,NA
"X148C","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.03,NA,NA,0,0,NA,NA,3,9,NA,NA,1,1,NA,NA,"No","No",0,0,10,0
"X148E1","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X148F1","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.9,NA,2,4,NA,NA,25,77,NA,NA,1.3,1,NA,NA,"No","No",NA,NA,NA,NA,NA
"X148F2","X","Park","Small Park",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,37
"X148F3","X","Park","Small Park",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.59,0,NA,1,0,3,NA,25,9,1,NA,4,1.3,"No",NA,"No","No",NA,NA,NA,NA
"X148F4","X","Park","Small Park",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.76,1,NA,NA,NA,24,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,0,0,109,0
"X148F5","X","Park","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0
"X148G","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.04,0,NA,NA,NA,12,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA
"X148G1","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.03,NA,NA,1,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA,NA
"X148G2","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X225","X","Park","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X226","X","Park","Other",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X150K","X","Park","Small Park",NA,"Bronx Sector 7.8","Districts 7, 8",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,137,338
"X148J","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.08,NA,NA,0,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA,NA
"X148H3","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.02,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA
"X148I","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.03,2,NA,1,2,34,NA,25,30,1,NA,3.9,1.6,"No",NA,"No","No",NA,NA,NA,NA
"X148I2","X","Park","Other",NA,"Bronx Sector 3.6","Districts 3, 6",0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X191D","X","Park","Small Park",NA,"Bronx Sector 9.10","Districts 9, 10",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X195B","X","Park","Small Park",NA,"Bronx Sector 9.10","Districts 9, 10",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X195C","X","Park",NA,NA,"Bronx Sector 4.5","Districts 4, 5",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X195D","X","Park",NA,NA,"Bronx Sector 9.10","Districts 9, 10",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X195E","X","Park",NA,NA,"Bronx Sector 9.10","Districts 9, 10",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X195F","X","Park",NA,NA,"Bronx Sector 9.10","Districts 9, 10",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X368","X","Park",NA,NA,"Bronx Sector 1.2","Districts 1, 2",0,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X303","X","Park","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X301","X","Park","Other",NA,"Bronx Sector 9.10","Districts 9, 10",0,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M060A","M","Park Avenue Malls","Small Park",NA,"Manhattan Sector 4.5","Districts 4, 5",0,0.23,NA,1,1,3,NA,19,14,46,NA,1,1,1,NA,"Yes","No","Yes",NA,NA,NA,NA
"M060B","M","Park Avenue Malls","Small Park",NA,"Manhattan Sector 6.8.15","Districts 6, 8, 15",0,0.65,1,1,1,1,13,9,13,11,1.9,1.3,1.1,1.2,"Yes","Yes","Yes","Yes",20,20,0,0
"Q360P","Q","Park Slope","Small Park",NA,"Queens Sector 5.6","Districts 5, 6",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M297","M","Parks Council Success Garden","Small Park",NA,"Manhattan Sector 10.11","Districts 10, 11",0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B573","B","Patchen Community Square Garden",NA,NA,"Brooklyn Sector 3.4","Districts 3, 4",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B500","B","Patrick Van Doren Pocket Park","Small Park",NA,"Brooklyn Sector 3.4","Districts 3, 4",0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M367","M","Peaceful Valley Garden","Small Park",NA,"Manhattan Sector 10.11","Districts 10, 11",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,0
"M350","M","Peachtree Garden","Small Park",NA,"Manhattan Sector 3","District 3",0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,134,5,65
"M167","M","Peck Slip","Other",NA,"Manhattan Sector 1.2","Districts 1, 2",0,0.19,0,NA,2,27,9,NA,34,426,1,NA,5.2,5.5,"No",NA,"No","No",22,0,0,697
"M290","M","Pier 107 CVII","Small Park",NA,"Manhattan Sector 6.8.15","Districts 6, 8, 15",0,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M369","M","Pier 42","Other",NA,"Manhattan Sector 3","District 3",0,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B560","B","Pirate's Cove Garden",NA,NA,"Brooklyn Sector 6.7","Districts 6, 7",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M375","M","Pleasant Park Garden","Small Park",NA,"Manhattan Sector 10.11","Districts 10, 11",0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M299","M","Pleasant Village Community Garden","Small Park",NA,"Manhattan Sector 10.11","Districts 10, 11",0,0.38,1,NA,NA,NA,26,NA,NA,NA,1,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA
"Q515","Q","Pomonok Houses Playground",NA,NA,"Queens Sector 8.9","Districts 8, 9",0,0.16,0,2,1,NA,1,42,20,NA,1,1,1,NA,"No","Yes","No",NA,0,326,0,0
"B504","B","Ponderosa Garden","Small Park",NA,"Brooklyn Sector 17.18","Districts 17, 18",0,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B564","B","Positive Seeds of Life Garden",NA,NA,"Brooklyn Sector 5.16","Districts 5, 16",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B516","B","Powell Street Livonia Garden","Small Park",NA,"Brooklyn Sector 5.16","Districts 5, 16",0,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R122","R","Pralls Island","Large Park","Natural Areas","Staten Island Sector 2.2B","Districts 2, 2B",0,107.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B487","B","Preston Community Garden","Small Park",NA,"Brooklyn Sector 5.16","Districts 5, 16",0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q475","Q","Project Eden","Small Park",NA,"Queens Sector 5.6","Districts 5, 6",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
